region_code,region_name,continent,period,CI_min,CI_max,CI_mean,CI_low,CI_high,CI_COV,CI_COV_daily
IN-SO,Southern India,Asia,2023,71.77,708.49,561.92,505.03,618.58,12.12,10.06
IN-SO,Southern India,Asia,2024,373.31,726.14,562.31,501.32,612.72,13.76,9.82
IN-SO,Southern India,Asia,all,71.77,726.14,537.87,479.22,593.63,14.46,10.24
IN-WE,Western India,Asia,2021,681.45,780.45,745.52,732.31,761.92,2.62,1.47
IN-WE,Western India,Asia,2022,667.12,787.67,747.53,729.09,767.05,3.34,1.09
IN-WE,Western India,Asia,2023,672.9,790.06,749.17,737.15,765.01,2.96,1.29
IN-WE,Western India,Asia,2024,641.05,786.6,737.94,724.33,758.23,3.51,1.45
IN-WE,Western India,Asia,all,641.05,790.06,745.04,730.76,763.37,3.18,1.33
IS,Iceland,Europe,2021,26.76,30.24,27.87,27.66,28.08,1.15,0.44
IS,Iceland,Europe,2022,25.99,32.18,27.43,27.09,27.7,2.05,0.52
IS,Iceland,Europe,2023,26.4,28.75,27.76,27.29,28.14,1.62,0.37
IS,Iceland,Europe,2024,26.76,29.22,28.17,28.01,28.36,0.94,0.43
IS,Iceland,Europe,all,25.99,32.18,27.81,27.41,28.18,1.77,0.44
IT,Italy6,Europe,2021,171.36,545.13,356.59,315.13,400.02,17.47,9.21
IT,Italy6,Europe,2022,169.14,551.8,402.58,364.74,449.51,15.72,10.48
IT,Italy6,Europe,2023,107.88,523.45,320.54,269.99,371.11,22.77,12.4
IT,Italy6,Europe,2024,86.38,449.43,272.13,228.43,318.64,23.34,14.53
IT,Italy6,Europe,all,86.38,551.8,337.91,280.83,397.47,24.05,11.66
IT-CNO,Central North Italy,Europe,2021,103.87,478.74,294.55,256.02,335.98,20.27,11.33
IT-CNO,Central North Italy,Europe,2022,116.87,545.0,345.81,303.84,391.81,20.07,13.65
IT-CNO,Central North Italy,Europe,2023,89.39,475.4,276.01,235.77,316.98,22.9,14.2
IT-CNO,Central North Italy,Europe,2024,85.55,391.96,246.29,207.31,289.39,22.94,14.78
IT-CNO,Central North Italy,Europe,all,85.55,545.0,290.63,242.52,337.92,24.82,13.49
IT-CSO,Central South Italy,Europe,2021,168.91,718.1,405.3,341.02,469.25,22.08,13.8
IT-CSO,Central South Italy,Europe,2022,127.38,752.68,458.65,388.95,536.84,22.4,15.57
IT-CSO,Central South Italy,Europe,2023,75.33,651.1,346.74,268.33,421.87,30.68,18.16
IT-CSO,Central South Italy,Europe,2024,65.48,537.21,301.18,231.45,373.1,30.81,21.15
IT-CSO,Central South Italy,Europe,all,65.48,752.68,377.92,296.76,458.3,30.35,17.17
IT-NO,North Italy,Europe,2021,125.16,528.19,324.42,268.75,372.03,23.51,7.37
IT-NO,North Italy,Europe,2022,157.21,534.93,367.07,323.79,412.77,18.03,8.23
IT-NO,North Italy,Europe,2023,96.76,503.62,292.44,246.95,338.14,23.29,9.89
IT-NO,North Italy,Europe,2024,76.94,467.27,242.86,194.07,289.33,26.57,11.14
IT-NO,North Italy,Europe,all,76.94,534.93,306.65,249.16,363.41,26.91,9.16
IT-SAR,Sardinia,Europe,2021,273.54,866.66,588.68,510.36,667.88,18.12,12.07
IT-SAR,Sardinia,Europe,2022,224.22,851.24,612.93,525.17,706.17,18.77,13.58
IT-SAR,Sardinia,Europe,2023,191.55,900.2,556.18,457.14,660.71,23.07,15.6
IT-SAR,Sardinia,Europe,2024,194.22,847.13,528.16,435.14,621.38,21.71,17.58
IT-SAR,Sardinia,Europe,all,191.55,900.2,571.46,481.68,664.3,21.13,14.71
IT-SIC,Sicily,Europe,2021,88.79,722.28,413.25,325.44,507.51,29.54,19.99
IT-SIC,Sicily,Europe,2022,114.85,812.04,461.21,372.03,561.72,28.61,16.7
IT-SIC,Sicily,Europe,2023,115.76,793.5,390.31,286.66,483.52,33.84,21.18
IT-SIC,Sicily,Europe,2024,54.61,676.85,315.14,214.5,419.11,40.3,28.17
IT-SIC,Sicily,Europe,all,54.61,812.04,394.92,288.25,497.2,35.14,21.52
IT-SO,South Italy,Europe,2021,111.43,655.52,388.8,309.79,471.35,26.55,16.83
IT-SO,South Italy,Europe,2022,85.63,730.58,444.16,368.97,530.05,25.07,17.02
IT-SO,South Italy,Europe,2023,71.61,723.62,348.03,260.39,438.41,34.89,21.61
IT-SO,South Italy,Europe,2024,68.52,515.67,294.44,196.73,393.51,39.07,27.34
IT-SO,South Italy,Europe,all,68.52,730.58,368.81,278.84,462.31,34.05,20.71
JP,Japan9,Asia,2021,197.94,553.64,476.54,442.97,518.93,12.99,11.76
JP,Japan9,Asia,2022,180.97,560.27,489.21,452.08,535.23,13.7,12.74
JP,Japan9,Asia,2023,172.41,537.65,460.6,420.61,511.95,15.78,14.53
JP,Japan9,Asia,2024,193.77,533.4,460.49,419.24,509.26,14.86,13.91
JP,Japan9,Asia,all,172.41,560.27,471.7,433.96,518.82,14.56,13.23
JP-CB,Chūbu,Asia,2021,171.54,584.97,515.84,475.0,571.91,15.04,13.78
JP-CB,Chūbu,Asia,2022,99.34,583.51,510.53,468.51,565.6,15.98,14.65
JP-CB,Chūbu,Asia,2023,61.22,569.32,480.66,432.2,541.84,19.06,17.49
JP-CB,Chūbu,Asia,2024,100.35,567.83,481.75,438.36,542.16,18.52,16.76
JP-CB,Chūbu,Asia,all,61.22,584.97,497.19,453.86,556.87,17.44,15.67
JP-CG,Chūgoku,Asia,2021,115.2,580.14,471.46,421.87,533.92,18.66,17.19
JP-CG,Chūgoku,Asia,2022,128.8,588.81,499.56,444.73,564.85,18.55,17.29
JP-CG,Chūgoku,Asia,2023,103.25,579.43,465.86,417.55,534.07,20.61,18.92
JP-CG,Chūgoku,Asia,2024,147.94,576.97,472.87,417.77,538.21,19.28,17.99
JP-CG,Chūgoku,Asia,all,103.25,588.81,477.43,425.43,542.06,19.46,17.85
JP-HKD,Hokkaidō,Asia,2021,249.18,532.77,474.45,442.37,518.6,12.85,11.69
JP-HKD,Hokkaidō,Asia,2022,186.08,516.56,457.64,430.5,502.49,14.27,12.6
JP-HKD,Hokkaidō,Asia,2023,211.21,530.55,465.95,428.21,517.06,14.79,13.68
JP-HKD,Hokkaidō,Asia,2024,135.32,530.1,464.29,426.24,516.13,15.68,14.48
JP-HKD,Hokkaidō,Asia,all,135.32,532.77,465.58,431.86,513.18,14.48,13.11
JP-HR,Hokuriku,Asia,2021,317.61,492.27,459.77,453.4,476.35,5.56,4.69
JP-HR,Hokuriku,Asia,2022,320.05,499.56,464.46,453.67,484.89,6.6,5.77
JP-HR,Hokuriku,Asia,2023,238.16,497.03,454.8,441.02,483.69,9.27,7.89
JP-HR,Hokuriku,Asia,2024,235.68,495.61,451.67,436.44,482.14,9.91,8.56
JP-HR,Hokuriku,Asia,all,235.68,499.56,457.67,447.02,482.29,8.08,6.73
