workload,NoH,battery,allocationType,carbon_trace,failures,runtime,energy_usage,scheduler_delay,SLA_violations,carbon_emission,embodied_carbon_host,embodied_carbon_battery,total_carbon
borg,1534,10_1000,normal,US-NW-NWMT,no,2679100797,1768776800000.0,-9999.0,-9999.0,265745520.01381093,58643559.11241438,8495.373,324397574.4992253
borg,1534,10_1000,normal,AU-QLD,no,2679100797,1768856000000.0,-9999.0,-9999.0,298736704.0828001,58643559.11241438,8495.373,357388758.5682145
borg,1534,10_1000,normal,US-NY-NYIS,no,2679100797,1768819300000.0,-9999.0,-9999.0,136994416.00533143,58643559.11241438,8495.373,195646470.4907458
borg,1534,25_1000,normal,JP-CB,no,2679100797,1768862600000.0,-9999.0,-9999.0,239778816.06413037,58643559.11241438,21238.432,298443613.60854477
borg,1534,25_1000,normal,US-MIDW-AECI,no,2679100797,1768829500000.0,-9999.0,-9999.0,251826751.165832,58643559.11241438,21238.432,310491548.7102464
borg,1534,25_1000,normal,PE,no,2679100797,1769000400000.0,-9999.0,-9999.0,69261064.02216144,58643559.11241438,21238.432,127925861.56657583
borg,1534,25_1000,normal,SI,no,2679100797,1768512000000.0,-9999.0,-9999.0,114718336.0126512,58643559.11241438,21238.432,173383133.55706558
borg,1534,25_1000,normal,RS,no,2679100797,1768827800000.0,-9999.0,-9999.0,243896816.01115653,58643559.11241438,21238.432,302561613.5555709
borg,1534,25_1000,normal,US-FLA-SEC,no,2679100797,1768913100000.0,-9999.0,-9999.0,249709614.9890384,58643559.11241438,21238.432,308374412.5334528
borg,1534,25_1000,normal,SE-SE1,no,2679100797,1769023100000.0,-9999.0,-9999.0,7944121.502567277,58643559.11241438,21238.432,66608919.046981655
borg,1534,25_1000,normal,US-SW-EPE,no,2679100797,1768889400000.0,-9999.0,-9999.0,223147936.01918665,58643559.11241438,21238.432,281812733.563601
borg,1534,25_1000,normal,US-NW-PSEI,no,2679100797,1769504500000.0,-9999.0,-9999.0,86221223.61435279,58643559.11241438,21238.432,144886021.15876716
borg,1534,25_1000,normal,PH-LU,no,2679100797,1768900500000.0,-9999.0,-9999.0,320923584.0495875,58643559.11241438,21238.432,379588381.5940019
borg,1534,25_1000,normal,UY,no,2679100797,1768980200000.0,-9999.0,-9999.0,25093869.800812285,58643559.11241438,21238.432,83758667.34522666
borg,1534,25_1000,normal,US-SW-PNM,no,2679100797,1768843500000.0,-9999.0,-9999.0,144141220.34597474,58643559.11241438,21238.432,202806017.8903891
borg,1534,25_1000,normal,US-CAR-SC,no,2679100797,1768872600000.0,-9999.0,-9999.0,271488718.01182395,58643559.11241438,21238.432,330153515.55623835
borg,1534,25_1000,normal,US-MIDW-MISO,no,2679100797,1768762200000.0,-9999.0,-9999.0,205323311.53376535,58643559.11241438,21238.432,263988109.07817972
borg,1534,25_1000,normal,RO,no,2679100797,1769037800000.0,-9999.0,-9999.0,146831699.3504369,58643559.11241438,21238.432,205496496.89485127
borg,1534,25_1000,normal,LT,no,2679100797,1768981100000.0,-9999.0,-9999.0,76930346.1349366,58643559.11241438,21238.432,135595143.67935097
borg,1534,25_1000,normal,JP-ON,no,2679100797,1768999900000.0,-9999.0,-9999.0,288038016.0091472,58643559.11241438,21238.432,346702813.5535616
borg,1534,25_1000,normal,US-CAR-DUK,no,2679100797,1768759500000.0,-9999.0,-9999.0,128229184.03357038,58643559.11241438,21238.432,186893981.57798475
borg,1534,25_1000,normal,US-NW-IPCO,no,2679100797,1769089500000.0,-9999.0,-9999.0,124246808.79179916,58643559.11241438,21238.432,182911606.33621353
borg,1534,25_1000,normal,NL,no,2679100797,1768839300000.0,-9999.0,-9999.0,141474192.01983148,58643559.11241438,21238.432,200138989.56424585
borg,1534,25_1000,normal,SE-SE2,no,2679100797,1768790800000.0,-9999.0,-9999.0,9347204.00001566,58643559.11241438,21238.432,68012001.54443003
borg,1534,25_1000,normal,IT-NO,no,2679100797,1768915600000.0,-9999.0,-9999.0,126102352.0353535,58643559.11241438,21238.432,184767149.57976788
borg,1534,25_1000,normal,US-NW-WACM,no,2679100797,1769040100000.0,-9999.0,-9999.0,304203164.7493223,58643559.11241438,21238.432,362867962.2937367
borg,1534,25_1000,normal,SK,no,2679100797,1768724600000.0,-9999.0,-9999.0,99546914.45023316,58643559.11241438,21238.432,158211711.99464753
borg,1534,25_1000,normal,US-CAL-BANC,no,2679100797,1768686900000.0,-9999.0,-9999.0,99301864.00390863,58643559.11241438,21238.432,157966661.548323
borg,1534,25_1000,normal,US-FLA-JEA,no,2679100797,1768820200000.0,-9999.0,-9999.0,304072768.0964858,58643559.11241438,21238.432,362737565.6409002
