workload,NoH,battery,battery_capacity,battery_speed,battery_embodied_rate,allocationType,carbon_trace,failures,runtime,energy_usage,scheduler_delay,SLA_violations,carbon_emission,embodied_carbon_host,embodied_carbon_battery,total_carbon
surf,277,0_1000,0,1000,100.0,normal,IN-NE,no,10702638000.0,211191169024.0,-9999.0,-9999.0,26935388.0,19215199.15,0.0,46150587.15
surf,277,0_1000,0,1000,100.0,normal,AU-TAS,no,10702638000.0,211191169024.0,-9999.0,-9999.0,8716088.0,19215199.15,0.0,27931287.15
surf,277,0_1000,0,1000,100.0,normal,BR-NE,no,10702638000.0,211191169024.0,-9999.0,-9999.0,2208354.75,19215199.15,0.0,21423553.9
surf,277,0_1000,0,1000,100.0,normal,US-NW-GRID,no,10702638000.0,211191169024.0,-9999.0,-9999.0,25064494.0,19215199.15,0.0,44279693.15
surf,277,0_1000,0,1000,100.0,normal,SK,no,10702638000.0,211191169024.0,-9999.0,-9999.0,11600381.0,19215199.15,0.0,30815580.15
surf,277,0_1000,0,1000,100.0,normal,AU,no,10702638000.0,211191169024.0,-9999.0,-9999.0,31166660.0,19215199.15,0.0,50381859.15
surf,277,0_1000,0,1000,100.0,normal,US-FLA-FPL,no,10702638000.0,211191169024.0,-9999.0,-9999.0,21328544.0,19215199.15,0.0,40543743.15
surf,277,0_1000,0,1000,100.0,normal,BR,no,10702638000.0,211191169024.0,-9999.0,-9999.0,4284100.0,19215199.15,0.0,23499299.15
surf,277,0_1000,0,1000,100.0,normal,SE-SE2,no,10702638000.0,211191169024.0,-9999.0,-9999.0,1026816.3125,19215199.15,0.0,20242015.4625
surf,277,0_1000,0,1000,100.0,normal,US-NW-PGE,no,10702638000.0,211191169024.0,-9999.0,-9999.0,9135674.0,19215199.15,0.0,28350873.15
surf,277,0_1000,0,1000,100.0,normal,DK-DK2,no,10702638000.0,211191169024.0,-9999.0,-9999.0,7093964.0,19215199.15,0.0,26309163.15
surf,277,0_1000,0,1000,100.0,normal,IE,no,10702638000.0,211191169024.0,-9999.0,-9999.0,25160900.0,19215199.15,0.0,44376099.15
surf,277,0_1000,0,1000,100.0,normal,US-CAR-CPLE,no,10702638000.0,211191169024.0,-9999.0,-9999.0,18770172.0,19215199.15,0.0,37985371.15
surf,277,0_1000,0,1000,100.0,normal,US-NW-NEVP,no,10702638000.0,211191169024.0,-9999.0,-9999.0,23005462.0,19215199.15,0.0,42220661.15
surf,277,0_1000,0,1000,100.0,normal,PE,no,10702638000.0,211191169024.0,-9999.0,-9999.0,9818069.0,19215199.15,0.0,29033268.15
surf,277,0_1000,0,1000,100.0,normal,US-CAL-LDWP,no,10702638000.0,211191169024.0,-9999.0,-9999.0,18329664.0,19215199.15,0.0,37544863.15
surf,277,0_1000,0,1000,100.0,normal,BA,no,10702638000.0,211191169024.0,-9999.0,-9999.0,26938002.0,19215199.15,0.0,46153201.15
surf,277,0_1000,0,1000,100.0,normal,NL,no,10702638000.0,211191169024.0,-9999.0,-9999.0,14227314.0,19215199.15,0.0,33442513.15
surf,277,0_1000,0,1000,100.0,normal,IN-NO,no,10702638000.0,211191169024.0,-9999.0,-9999.0,34239200.0,19215199.15,0.0,53454399.15
surf,277,0_1000,0,1000,100.0,normal,US-NW-PACE,no,10702638000.0,211191169024.0,-9999.0,-9999.0,31539564.0,19215199.15,0.0,50754763.15
surf,277,0_1000,0,1000,100.0,normal,SE-SE1,no,10702638000.0,211191169024.0,-9999.0,-9999.0,930941.0625,19215199.15,0.0,20146140.2125
surf,277,0_1000,0,1000,100.0,normal,GR,no,10702638000.0,211191169024.0,-9999.0,-9999.0,18693990.0,19215199.15,0.0,37909189.15
surf,277,0_1000,0,1000,100.0,normal,SG,no,10702638000.0,211191169024.0,-9999.0,-9999.0,28472312.0,19215199.15,0.0,47687511.15
surf,277,0_1000,0,1000,100.0,normal,US-CAL-IID,no,10702638000.0,211191169024.0,-9999.0,-9999.0,28980536.0,19215199.15,0.0,48195735.15
surf,277,0_1000,0,1000,100.0,normal,NO-NO1,no,10702638000.0,211191169024.0,-9999.0,-9999.0,1540637.125,19215199.15,0.0,20755836.275
surf,277,0_1000,0,1000,100.0,normal,PL,no,10702638000.0,211191169024.0,-9999.0,-9999.0,40758696.0,19215199.15,0.0,59973895.15
surf,277,0_1000,0,1000,100.0,normal,FI,no,10702638000.0,211191169024.0,-9999.0,-9999.0,4264894.5,19215199.15,0.0,23480093.65
surf,277,0_1000,0,1000,100.0,normal,JP-TH,no,10702638000.0,211191169024.0,-9999.0,-9999.0,27251504.0,19215199.15,0.0,46466703.15
surf,277,0_1000,0,1000,100.0,normal,US-CENT-SWPP,no,10702638000.0,211191169024.0,-9999.0,-9999.0,21539244.0,19215199.15,0.0,40754443.15
surf,277,0_1000,0,1000,100.0,normal,US-MIDA-PJM,no,10702638000.0,211191169024.0,-9999.0,-9999.0,22560654.0,19215199.15,0.0,41775853.15
surf,277,0_1000,0,1000,100.0,normal,CA-ON,no,10702638000.0,211191169024.0,-9999.0,-9999.0,4645229.5,19215199.15,0.0,23860428.65
surf,277,0_1000,0,1000,100.0,normal,US-CAR-DUK,no,10702638000.0,211191169024.0,-9999.0,-9999.0,16410365.0,19215199.15,0.0,35625564.15
surf,277,0_1000,0,1000,100.0,normal,US-NW-NWMT,no,10702638000.0,211191169024.0,-9999.0,-9999.0,24186304.0,19215199.15,0.0,43401503.15
surf,277,0_1000,0,1000,100.0,normal,IT-SAR,no,10702638000.0,211191169024.0,-9999.0,-9999.0,29360180.0,19215199.15,0.0,48575379.15
surf,277,0_1000,0,1000,100.0,normal,DK,no,10702638000.0,211191169024.0,-9999.0,-9999.0,6403150.0,19215199.15,0.0,25618349.15
surf,277,0_1000,0,1000,100.0,normal,NO,no,10702638000.0,211191169024.0,-9999.0,-9999.0,1983109.375,19215199.15,0.0,21198308.525
surf,277,0_1000,0,1000,100.0,normal,US-NW-CHPD,no,10702638000.0,211191169024.0,-9999.0,-9999.0,1516229.375,19215199.15,0.0,20731428.525
surf,277,0_1000,0,1000,100.0,normal,CY,no,10702638000.0,211191169024.0,-9999.0,-9999.0,39313596.0,19215199.15,0.0,58528795.15
surf,277,0_1000,0,1000,100.0,normal,FR,no,10702638000.0,211191169024.0,-9999.0,-9999.0,1491614.875,19215199.15,0.0,20706814.025
surf,277,0_1000,0,1000,100.0,normal,IT,no,10702638000.0,211191169024.0,-9999.0,-9999.0,13689822.0,19215199.15,0.0,32905021.15
surf,277,0_1000,0,1000,100.0,normal,US-NW-BPAT,no,10702638000.0,211191169024.0,-9999.0,-9999.0,4643052.5,19215199.15,0.0,23858251.65
surf,277,0_1000,0,1000,100.0,normal,PT,no,10702638000.0,211191169024.0,-9999.0,-9999.0,4656595.0,19215199.15,0.0,23871794.15
surf,277,0_1000,0,1000,100.0,normal,US-SW-TEPC,no,10702638000.0,211191169024.0,-9999.0,-9999.0,32437914.0,19215199.15,0.0,51653113.15
surf,277,0_1000,0,1000,100.0,normal,BR-N,no,10702638000.0,211191169024.0,-9999.0,-9999.0,4442656.0,19215199.15,0.0,23657855.15
surf,277,0_1000,0,1000,100.0,normal,JP-CG,no,10702638000.0,211191169024.0,-9999.0,-9999.0,26741652.0,19215199.15,0.0,45956851.15
surf,277,0_1000,0,1000,100.0,normal,IN-WE,no,10702638000.0,211191169024.0,-9999.0,-9999.0,43746332.0,19215199.15,0.0,62961531.15
surf,277,0_1000,0,1000,100.0,normal,US-FLA-JEA,no,10702638000.0,211191169024.0,-9999.0,-9999.0,36336956.0,19215199.15,0.0,55552155.15
surf,277,0_1000,0,1000,100.0,normal,US-SW-PNM,no,10702638000.0,211191169024.0,-9999.0,-9999.0,18195714.0,19215199.15,0.0,37410913.15
surf,277,0_1000,0,1000,100.0,normal,US-NW-PACW,no,10702638000.0,211191169024.0,-9999.0,-9999.0,9048520.0,19215199.15,0.0,28263719.15
surf,277,0_1000,0,1000,100.0,normal,US-NW-PSCO,no,10702638000.0,211191169024.0,-9999.0,-9999.0,23032634.0,19215199.15,0.0,42247833.15
surf,277,0_1000,0,1000,100.0,normal,DE,no,10702638000.0,211191169024.0,-9999.0,-9999.0,17370410.0,19215199.15,0.0,36585609.15
surf,277,0_1000,0,1000,100.0,normal,US-CAL-BANC,no,10702638000.0,211191169024.0,-9999.0,-9999.0,11222579.0,19215199.15,0.0,30437778.15
surf,277,0_1000,0,1000,100.0,normal,TR,no,10702638000.0,211191169024.0,-9999.0,-9999.0,21719006.0,19215199.15,0.0,40934205.15
surf,277,0_1000,0,1000,100.0,normal,US-NW-WACM,no,10702638000.0,211191169024.0,-9999.0,-9999.0,32294090.0,19215199.15,0.0,51509289.15
surf,277,320_10,320,10,100.0,normal,AT,no,10702638000.0,211191169024.0,-9999.0,-9999.0,4571925.000164575,19215199.15,1086011.0,24873135.150164574
surf,277,320_10,320,10,100.0,normal,AU,no,10702638000.0,211191169024.0,-9999.0,-9999.0,30932730.001786932,19215199.15,1086011.0,51233940.15178693
surf,277,320_10,320,10,100.0,normal,AU-NSW,no,10702638000.0,211191169024.0,-9999.0,-9999.0,34255508.00420456,19215199.15,1086011.0,54556718.154204555
surf,277,320_10,320,10,100.0,normal,AU-NT,no,10702638000.0,211398000640.0,-9999.0,-9999.0,28896772.59568457,19215199.15,1086011.0,49197982.745684564
surf,277,320_10,320,10,100.0,normal,AU-QLD,no,10702638000.0,211191169024.0,-9999.0,-9999.0,35833740.00271782,19215199.15,1086011.0,56134950.15271782
surf,277,320_10,320,10,100.0,normal,AU-SA,no,10702638000.0,211202506752.0,-9999.0,-9999.0,13397361.91825099,19215199.15,1086011.0,33698572.068250984
surf,277,320_10,320,10,100.0,normal,AU-TAS,no,10702638000.0,211191169024.0,-9999.0,-9999.0,8503607.000212241,19215199.15,1086011.0,28804817.15021224
surf,277,320_10,320,10,100.0,normal,AU-VIC,no,10702638000.0,211191169024.0,-9999.0,-9999.0,32098420.003297094,19215199.15,1086011.0,52399630.1532971
surf,277,320_10,320,10,100.0,normal,AU-WA,no,10702638000.0,211225722880.0,-9999.0,-9999.0,24359514.32444807,19215199.15,1086011.0,44660724.47444807
surf,277,320_10,320,10,100.0,normal,BA,no,10702638000.0,211191169024.0,-9999.0,-9999.0,26745566.000491038,19215199.15,1086011.0,47046776.15049104
surf,277,320_10,320,10,100.0,normal,BE,no,10702638000.0,211191169024.0,-9999.0,-9999.0,7025279.500342682,19215199.15,1086011.0,27326489.65034268
surf,277,320_10,320,10,100.0,normal,BG,no,10702638000.0,211191169024.0,-9999.0,-9999.0,14852316.001380451,19215199.15,1086011.0,35153526.15138045
surf,277,320_10,320,10,100.0,normal,BR,no,10702638000.0,211191169024.0,-9999.0,-9999.0,4269841.000301924,19215199.15,1086011.0,24571051.150301922
